ID,SIGHTING_DATE,CITY_STATE,COUNTRY_CODE,SHAPE,DURATION,DATE_POSTED
1325,18/07/2000,london (uk/england),gb,disk,5,18/02/2001
1326,18/07/2006,huntingdon (uk/england),gb,unknown,3600,30/10/2006
1327,18/07/2006,wrexham (uk/england),gb,circle,300,30/10/2006
1328,18/07/2006,northwich (uk/england),gb,sphere,1800,30/10/2006
1329,18/07/2006,stoke-on-trent (uk/england),gb,circle,10,30/10/2006
1330,18/07/2006,brighton (uk/england),gb,light,5,30/10/2006
1331,18/07/2006,isle of wight (uk/england),gb,light,3,30/10/2006
1332,18/07/2009,london (uk/england),gb,light,180,05/08/2009
1333,18/07/2009,gloucester (uk/england),gb,unknown,30,05/08/2009
1334,18/07/2009,london (uk/england),gb,circle,150,05/08/2009
1335,19/07/1977,edinburgh (uk/scotland),gb,disk,180,23/11/1999
1336,19/07/1999,leeds (uk/england),gb,disk,14400,02/09/2005
1337,19/07/2005,birmingham (uk/england),gb,oval,3600,02/09/2005
1338,19/07/2006,birmingham (uk/england),gb,sphere,20,30/10/2006
1339,19/07/2006,london (uk/england),gb,light,3,30/10/2006
1453,02/07/2002,formby (uk/england),gb,triangle,180,26/07/2002
1454,02/07/2010,manchester (uk/england),gb,fireball,180,24/08/2010
1455,02/07/2010,wigan (uk/england),gb,,30,06/07/2010
1340,20/07/1976,london (uk/england),gb,circle,120,24/04/2014
1341,20/07/1987,widnes (uk/england),gb,egg,60,08/07/2004
1342,20/07/1988,nottingham (uk/england),gb,cigar,300,11/05/2005
1343,20/07/1998,east finchley (london) (uk/england),gb,triangle,20,21/11/1998
1344,20/07/2001,aberdeen (uk/scotland),gb,light,240,05/08/2001
1345,20/07/2002,skegness (uk/england),gb,light,3600,04/02/2013
1346,20/07/2003,newcastle upon tyne (uk/england),gb,light,60,23/07/2003
1347,20/07/2004,london (uk/england),gb,triangle,300,25/07/2004
1348,20/07/2008,london (uk/england),gb,light,480,12/08/2008
1349,20/07/2009,london (uk/england),gb,,2700,05/08/2009
1423,21/07/1972,stoke-on-trent (uk/england),gb,light,1800,16/04/2005
1424,21/07/1997,london (uk/england),gb,fireball,10,28/01/1999
1425,21/07/2000,sheffield (near) (uk/england),gb,disk,45,23/07/2000
1426,21/07/2008,portsmouth (uk/england),gb,triangle,600,12/08/2008
1427,21/07/2009,morley (uk/england),gb,flash,30,05/08/2009
1456,22/07/1999,south shields (uk/england),gb,other,10,17/11/1999
1457,22/07/2001,liverpool (uk/england),gb,cylinder,420,05/08/2001
1458,22/07/2001,addlestone (near heathrow airport) (uk/england),gb,circle,120,05/08/2001
1459,22/07/2002,london (uk/england),gb,cigar,600,07/10/2003
1460,22/07/2007,rugby (uk/england),gb,light,5,07/08/2007
1461,23/07/1998,kirkby in ashfield (uk/england),gb,other,600,20/10/2005
1462,23/07/2002,london (uk/england),gb,unknown,30,26/07/2002
1463,23/07/2005,london (uk/england),gb,light,600,02/09/2005
1464,23/07/2009,london (uk/england),gb,circle,15,05/08/2009
1465,24/07/1999,south shields (uk/england),gb,fireball,600,02/09/2005
1466,24/07/2003,london (uk/england),gb,sphere,300,01/08/2003
1467,24/07/2006,pulborough (uk/england),gb,light,40,30/10/2006
1468,24/07/2007,burgess hill (uk/england),gb,oval,240,08/10/2007
1469,24/07/2008,gwent (uk/wales),gb,circle,30,12/08/2008
1470,25/07/1971,sutton (uk/england),gb,disk,7200,20/08/2001
1471,25/07/2000,lampeter (uk/wales),gb,cylinder,600,18/02/2001
1472,25/07/2002,sidmouth (uk/england),gb,unknown,2,16/08/2002
1473,25/07/2006,boston (uk/england),gb,circle,300,12/06/2007
1474,25/07/2007,stratford (uk/england),gb,formation,1800,07/08/2007
1475,25/07/2007,brighton (uk/england),gb,triangle,120,07/08/2007
1476,25/07/2009,kettering (uk/england),gb,circle,120,05/08/2009
1477,25/07/2009,hampshire (uk/england),gb,changing,240,05/08/2009
1478,26/07/2002,richmond (uk/england),gb,light,120,28/08/2002
1479,26/07/2002,colchester (uk/england),gb,light,40,30/07/2002
1480,26/07/2003,sheffield (uk/england),gb,light,300,28/08/2003
1481,26/07/2004,manchester (uk/england),gb,fireball,300,11/08/2004
1482,26/07/2006,southampton (uk/england),gb,cross,60,30/10/2006
1483,26/07/2007,stratford (uk/england),gb,formation,1800,07/08/2007
1484,26/07/2008,norton (uk/england),gb,cross,180,12/08/2008
1485,26/07/2008,bristol (uk/england),gb,sphere,900,12/08/2008
1486,27/07/2001,whitchurch (uk/england),gb,oval,10,05/08/2001
1487,27/07/2002,derby (uk/england),gb,flash,1,16/08/2002
1488,27/07/2004,glasgow (uk/scotland),gb,rectangle,60,11/08/2004
1489,27/07/2006,pembroke dock (uk/wales),gb,disk,5,30/10/2006
1490,27/07/2006,stevenage (uk/england),gb,light,60,30/10/2006
1491,27/07/2008,brean (sommerset) (uk/england),gb,cigar,720,12/08/2008
1492,27/07/2008,warrington (uk/england),gb,other,2,12/08/2008
1493,27/07/2011,malvern (uk/england),gb,formation,2400,07/08/2011
1494,28/07/2002,worcestershire (uk/england),gb,light,360,30/07/2002
1495,28/07/2002,london (uk/england),gb,fireball,5,30/07/2002
1496,28/07/2006,manchester (uk/england),gb,triangle,10,30/10/2006
1497,29/07/2001,hamilton (uk/scotland),gb,egg,300,05/08/2001
1498,29/07/2002,sidmouth (uk/england),gb,unknown,4,16/08/2002
1499,29/07/2007,kirkcaldy (uk/scotland),gb,circle,600,07/08/2007
1500,29/07/2008,telford (uk/england),gb,light,600,12/08/2008
1517,03/07/2003,liverpool (uk/england),gb,oval,1200,04/08/2003
1428,03/07/2007,aberdeen (uk/scotland),gb,teardrop,1200,07/08/2007
1429,03/07/2009,bristol (uk/england),gb,sphere,8,05/08/2009
1430,03/07/2009,harpenden (uk/england),gb,fireball,15,05/08/2009
1431,03/07/2010,glasgow (uk/scotland),gb,circle,120,24/08/2010
1501,30/07/1997,bognor regis (uk/england),gb,circle,1800,21/03/2003
1502,30/07/2003,edinburgh (uk/scotland),gb,formation,45,01/08/2003
1503,30/07/2006,sunderland (uk/england),gb,circle,15,30/10/2006
1504,30/07/2006,folkestone (uk/england),gb,triangle,60,30/10/2006
1505,30/07/2009,frant (uk/england),gb,light,4,05/08/2009
1506,30/07/2011,rotherham (uk/england),gb,sphere,10,07/08/2011
1507,30/07/2011,hull (uk/england),gb,oval,1800,07/08/2011
1508,30/07/2013,chawton (village of) (uk/england),gb,light,30,30/08/2013
1509,31/07/1983,london (uk/england),gb,disk,120,20/06/2005
1510,31/07/2001,southampton (uk/england),gb,unknown,30,05/08/2001
1511,31/07/2004,bristol (uk/england),gb,cylinder,600,11/08/2004
1512,31/07/2006,leicester (uk/england),gb,egg,120,30/10/2006
1513,31/07/2007,douglas (isle of man) (uk/england),gb,oval,10,07/08/2007
1514,31/07/2010,coventry (uk/england),gb,,120,24/08/2010
1515,31/07/2012,london (uk/england),gb,egg,45,05/08/2012
1516,31/07/2013,whitehaven (uk/england),gb,circle,600,30/08/2013
1432,04/07/2008,shirebrook (uk/england),gb,circle,10,05/07/2008
1433,04/07/2008,kettering (uk/england),gb,cigar,5,12/08/2008
1434,04/07/2009,cardiff (uk/wales),gb,oval,240,05/08/2009
1435,04/07/2009,wellingborough (uk/england),gb,circle,15,05/08/2009
1436,04/07/2009,arundel (uk/england),gb,,300,05/08/2009
1437,05/07/1986,coventry (uk/england),gb,triangle,180,16/08/2002
1438,05/07/1996,london (uk/england),gb,light,90,09/12/2000
1439,05/07/1999,leicester (uk/england),gb,sphere,300,01/09/2004
1440,05/07/2008,london (uk/england),gb,light,3600,12/08/2008
1441,05/07/2009,peterborough (uk/england),gb,cylinder,45,05/08/2009
1442,05/07/2009,bournemouth (uk/england),gb,cylinder,300,05/08/2009
1443,06/07/2003,porthmadog (uk/wales),gb,unknown,60,16/07/2003
1444,06/07/2004,cambridgeshire (uk/england),gb,rectangle,1500,08/07/2004
1445,06/07/2005,plymouth (uk/england),gb,light,20,02/09/2005
1446,07/07/1978,salisbury (uk/england),gb,other,120,20/11/2001
1447,07/07/1998,liverpool (uk/england),gb,light,5,17/01/2004
1448,07/07/2001,bath (uk/england),gb,disk,120,08/10/2007
1449,07/07/2002,malton (uk/england),gb,circle,600,26/07/2002
1450,07/07/2007,hartlepool (uk/england),gb,fireball,120,07/08/2007
1451,07/07/2008,huddersfield (uk/england),gb,triangle,180,12/08/2008
